# freqs(eV) eps1 eps2
7.293187496064689190e-01 -2.394900000114370471e+02 4.928299999874606385e+01
7.314701323486708651e-01 -2.388700000868667814e+02 4.832999999303165595e+01
7.336342451662705155e-01 -2.378400001227313396e+02 4.692800001997107984e+01
7.358112013833810749e-01 -2.372800000241243481e+02 4.502200000515062328e+01
7.380011156732125821e-01 -2.348000000592780054e+02 4.393199999655854526e+01
7.402041040782072479e-01 -2.335099999417645336e+02 4.376400000847563376e+01
7.424202840305372808e-01 -2.312599998799078094e+02 4.467999997959078939e+01
7.446497743729711960e-01 -2.298400000188770491e+02 4.502200000517481726e+01
7.468926953801188207e-01 -2.281299998798354807e+02 4.476799997933676423e+01
7.491491687800586607e-01 -2.265000001121002526e+02 4.470700001790562794e+01
7.514193177763619502e-01 -2.253000000205418303e+02 4.433799999923961366e+01
7.537032670705149373e-01 -2.235899998629389245e+02 4.383599999158870020e+01
7.560011428847543957e-01 -2.226300001480491062e+02 4.366900001491119809e+01
7.583130729853193586e-01 -2.213200000780452399e+02 4.328400001056194668e+01
7.606391867061332857e-01 -2.197899999354166880e+02 4.308100000328474977e+01
7.629796149729213273e-01 -2.184100000808641369e+02 4.274500001908577218e+01
7.653344903277760070e-01 -2.175999999057008552e+02 4.256599998949771191e+01
7.677039469541777628e-01 -2.157199998528352864e+02 4.204799998659872529e+01
7.700881207024826702e-01 -2.142599998948882956e+02 4.180799998745786894e+01
7.724871491158861181e-01 -2.127400000005124809e+02 4.111400000670614219e+01
7.749011714568732057e-01 -2.114500001389322676e+02 4.093300001897783602e+01
7.773303287341675194e-01 -2.102300001051096956e+02 4.072400000822536725e+01
7.797747637301868373e-01 -2.088600000616036709e+02 4.066000001592138346e+01
7.822346210290203050e-01 -2.074900001156231042e+02 4.024300001482883005e+01
7.847100470449348553e-01 -2.059799999554808778e+02 3.995899999679951975e+01
7.872011900514267468e-01 -2.047000001024725009e+02 3.952500001015570064e+01
7.897082002108262166e-01 -2.035200000681329016e+02 3.941000000899356337e+01
7.922312296044710100e-01 -2.018199999187220612e+02 3.904700000144642047e+01
7.947704322634596696e-01 -2.006400001014382042e+02 3.875200002302434399e+01
7.973259641999982383e-01 -1.994099999818733977e+02 3.842399998481469225e+01
7.998979834393529220e-01 -1.979200000806763455e+02 3.808500001422493852e+01
8.024866500524253654e-01 -1.966999999941568547e+02 3.782400001346522345e+01
8.050921261889592007e-01 -1.955099999421856012e+02 3.759099998622985339e+01
8.077145761113988520e-01 -1.941000000491704895e+02 3.729999999919373010e+01
8.103541662294099224e-01 -1.928399998979453187e+02 3.697499999230119272e+01
8.130110651350801465e-01 -1.916300000053599319e+02 3.660700001360834932e+01
8.156854436388139007e-01 -1.903100000011103532e+02 3.641599999662756915e+01
8.183774748059386983e-01 -1.891199999302056654e+02 3.602799998174896956e+01
8.210873339940378823e-01 -1.875899999312012767e+02 3.568199999452399851e+01
8.238151988910280554e-01 -1.862899998818651852e+02 3.537499998716647553e+01
8.265612495539981230e-01 -1.849500000079571009e+02 3.512600000386264298e+01
8.293256684488274910e-01 -1.837400001018373246e+02 3.479200001381881435e+01
8.321086404906020695e-01 -1.823900001084445535e+02 3.459200000674354669e+01
8.349103530848465127e-01 -1.811800000789176011e+02 3.419900000004118823e+01
8.377309961695926788e-01 -1.797100000657327428e+02 3.407099999709872407e+01
8.405707622583030725e-01 -1.785599999027934928e+02 3.361799998011929347e+01
8.434298464836715858e-01 -1.773200001253553637e+02 3.359600001076883302e+01
8.463084466423188568e-01 -1.761299999525574549e+02 3.320900000103442551e+01
8.492067632404090016e-01 -1.748900000004653066e+02 3.293799999627289310e+01
8.521249995402041533e-01 -1.736200000912863288e+02 3.269000002012009531e+01
8.550633616075842269e-01 -1.725500000270940859e+02 3.251800000083206754e+01
8.580220583605515650e-01 -1.710100000499955399e+02 3.219599999291783377e+01
8.610013016187479939e-01 -1.698499999156248919e+02 3.200099999432123354e+01
8.640013061540049444e-01 -1.685699999126145201e+02 3.170799999808771830e+01
8.670222897419560537e-01 -1.673300000648266916e+02 3.141399999860194114e+01
9.150124533808097205e-01 -1.491900000996849940e+02 2.786000001534636183e+01
9.184013883933311861e-01 -1.479900000219550122e+02 2.768500000571288666e+01
9.218155199486968154e-01 -1.467199999724379609e+02 2.747499999804373161e+01
9.252551300977589488e-01 -1.455400000326731629e+02 2.723699999959409368e+01
9.287205051168517800e-01 -1.443000000146674608e+02 2.684200001238800581e+01
9.322119355872158231e-01 -1.431399999487443040e+02 2.665699999447100055e+01
9.357297164762242714e-01 -1.419900000080260440e+02 2.652299999193315827e+01
9.392741472204523268e-01 -1.408500000121162543e+02 2.632800000470540525e+01
9.428455318106442329e-01 -1.395600000723399603e+02 2.603300000260306390e+01
9.464441788786237542e-01 -1.385199998899014702e+02 2.586799998065776762e+01
9.500704017862047213e-01 -1.374299999082406032e+02 2.568799999553586133e+01
9.537245187161516036e-01 -1.361700000724573840e+02 2.547100000724016766e+01
9.574068527652488392e-01 -1.349800000852974051e+02 2.523300001849838736e+01
9.611177320395326573e-01 -1.338099999483968929e+02 2.504999999243627329e+01
9.648574897517487869e-01 -1.325400000386393913e+02 2.481500000156977492e+01
9.686264643210914516e-01 -1.315500001043096745e+02 2.466300002089155186e+01
9.724249994752919291e-01 -1.304900000484018108e+02 2.446900000538207109e+01
9.762534443551158514e-01 -1.290799999880756559e+02 2.422499999801091164e+01
9.801121536213416308e-01 -1.279500000325762841e+02 2.402100000952236059e+01
9.840014875642834058e-01 -1.269400001115490966e+02 2.391100000695439221e+01
9.879218122159340032e-01 -1.258300001093786875e+02 2.368900001025877700e+01
9.918734994647977476e-01 -1.246999999220494288e+02 2.355199998363416114e+01
9.958569271734916128e-01 -1.236700000944497901e+02 2.338200001646866255e+01
9.998724792991912080e-01 -1.224699999019686345e+02 2.319599997999702268e+01
1.003920546017001536e+00 -1.214300000054423805e+02 2.302200000687458825e+01
1.008001523846339120e+00 -1.201999999242552093e+02 2.287699999180337329e+01
1.012115815780405770e+00 -1.190900000295844876e+02 2.269200000716880794e+01
1.016263831418850128e+00 -1.179899999692218273e+02 2.247099999292836969e+01
1.020445987103701269e+00 -1.168700000505634051e+02 2.229300001345644233e+01
1.024662706058675266e+00 -1.157599999128284480e+02 2.213999998450790230e+01
1.028914418531947872e+00 -1.146900000449997634e+02 2.200800001195177913e+01
1.033201561942497682e+00 -1.135700000589113330e+02 2.187700001550187778e+01
