# freqs(eV) eps1 eps2
2.231713588424924163e-02 1.360782100000000128e+01 2.213400000000000090e-01
2.355698618949447071e-02 1.388915999999999862e+01 2.757979999999999876e-01
2.479683748661994092e-02 1.419703999999999944e+01 2.110080000000000011e-01
2.603670539765633868e-02 1.454634000000000071e+01 1.220480000000000037e-01
2.727654851183044724e-02 1.493774100000000082e+01 1.700599999999999890e-01
2.851633744490923369e-02 1.537247699999999817e+01 3.293639999999999901e-01
2.975618117899898885e-02 1.586803100000000022e+01 5.179200000000000470e-01
3.099604685827492961e-02 1.644021599999999950e+01 4.298299999999999343e-01
3.223592096852689187e-02 1.710497499999999960e+01 3.226080000000000059e-01
3.347576408270100390e-02 1.785677199999999942e+01 4.056960000000000011e-01
3.471555859504447950e-02 1.845827999999999847e+01 6.617379999999999374e-01
3.595537120915346524e-02 1.925557700000000239e+01 7.724640000000000395e-01
3.719529342522333998e-02 2.057193199999999678e+01 5.261759999999999771e-01
3.843505582569950452e-02 2.225007999999999697e+01 2.830199999999999730e-02
3.967493997859190824e-02 2.446978400000000065e+01 -5.441700000000000426e-01
4.091482276774566912e-02 2.717531999999999925e+01 7.298200000000000520e-02
4.215457314176613429e-02 3.066060800000000341e+01 1.041144000000000069e+00
4.339450899609389317e-02 3.550028400000000062e+01 1.740319999999999867e+00
4.463427176849848327e-02 4.361159100000000421e+01 4.622800000000000242e-01
4.587419522444211722e-02 5.910749600000000470e+01 -1.768469999999999986e+00
4.711397237898894141e-02 1.000395090000000096e+02 4.922460000000000058e+00
4.835388145279034128e-02 1.528984800000000064e+02 1.553155020000000093e+02
4.959367497323988183e-02 -1.004010989999999879e+02 1.476486200000000224e+02
5.083360834806591178e-02 -8.278756500000001495e+01 3.753693200000000019e+01
5.207341079531267736e-02 -5.341178300000000689e+01 1.639545599999999936e+01
5.331323258417242777e-02 -3.772824000000000666e+01 7.954687999999999981e+00
5.455297700699146546e-02 -2.498551199999999994e+01 3.537765999999999966e+00
5.579294013783500650e-02 -1.698284499999999753e+01 1.832387999999999906e+00
5.703280606515435947e-02 -1.274040799999999862e+01 1.150506000000000029e+00
5.827255643904558080e-02 -9.998455999999999122e+00 8.672100000000000364e-01
5.951250518789615723e-02 -7.874491000000000795e+00 8.261399999999999855e-01
6.075214248836238035e-02 -4.887999999999999012e+00 5.980499999999999705e-01
6.199209371654985923e-02 -2.309748999999999608e+00 3.842999999999999750e-01
6.323207470144519282e-02 -3.083200000000000385e-01 3.880080000000000195e-01
6.447167431053295317e-02 1.589940000000000131e+00 7.995680000000000565e-01
6.571170476475904354e-02 3.763487999999999722e+00 1.609384000000000148e+00
6.695152816540200780e-02 6.647594999999999921e+00 1.975347999999999882e+00
6.819137127957612676e-02 1.110986700000000127e+01 1.960755999999999943e+00
6.943131159768367588e-02 1.896903699999999660e+01 1.936283999999999894e+00
7.067082429397095189e-02 3.516470400000000041e+01 2.117339000000000127e+01
7.191074241830693048e-02 -5.418587999999996185e+00 5.812921599999999245e+01
7.315046576422468139e-02 -2.905127499999999685e+01 2.347438799999999759e+01
7.439036367913247350e-02 -2.277728099999999500e+01 1.065151999999999965e+01
7.563055097362335333e-02 -1.824773199999999562e+01 6.344975999999999061e+00
7.687034994922171960e-02 -1.386660000000000004e+01 3.383401999999999799e+00
7.811011619296900910e-02 -1.052436299999999925e+01 2.224684000000000328e+00
7.934987995718381648e-02 -8.482582999999999984e+00 1.762656000000000001e+00
8.058980242131723315e-02 -7.625519999999998966e+00 1.576767999999999725e+00
8.182964553549133824e-02 -6.912879999999999470e+00 1.315217999999999998e+00
8.306925605551590541e-02 -6.118708000000000702e+00 1.012656000000000001e+00
8.430914628353226858e-02 -5.215876000000000623e+00 7.694400000000000128e-01
8.554881557262895841e-02 -4.476141000000000147e+00 6.362999999999999767e-01
8.678901799218778634e-02 -3.979264000000000134e+00 5.759999999999999565e-01
8.802881709190933657e-02 -3.597722999999999782e+00 5.363639999999999519e-01
8.926854353699696654e-02 -3.253985000000000127e+00 4.920480000000000409e-01
9.050865594520586532e-02 -2.846222999999999725e+00 4.365359999999999796e-01
9.174839044888423445e-02 -2.487840000000000273e+00 3.860080000000000178e-01
9.298837304575739704e-02 -2.193067000000000100e+00 3.655559999999999921e-01
