# freqs(eV) eps1 eps2
2.231713588424924163e-02 1.106215500000000063e+01 7.317200000000000093e-02
2.355698618949447071e-02 1.120902300000000018e+01 6.026399999999999119e-02
2.479683748661994092e-02 1.137005999999999872e+01 1.213919999999999860e-01
2.603670539765633868e-02 1.154562000000000133e+01 1.902880000000000127e-01
2.727654851183044724e-02 1.173669200000000146e+01 1.918560000000000265e-01
2.851633744490923369e-02 1.195732300000000059e+01 1.452360000000000040e-01
2.975618117899898885e-02 1.219389499999999948e+01 9.079199999999999771e-02
3.099604685827492961e-02 1.246011599999999930e+01 1.976799999999999946e-01
3.223592096852689187e-02 1.274973700000000143e+01 3.428160000000000096e-01
3.347576408270100390e-02 1.307820000000000071e+01 4.846780000000000532e-01
3.471555859504447950e-02 1.328738699999999895e+01 5.614839999999999831e-01
3.595537120915346524e-02 1.344095999999999869e+01 5.647179999999999422e-01
3.719529342522333998e-02 1.386055999999999955e+01 9.679799999999999516e-02
3.843505582569950452e-02 1.446244800000000019e+01 1.445140000000000036e-01
3.967493997859190824e-02 1.515333299999999994e+01 3.581559999999999744e-01
4.091482276774566912e-02 1.599990000000000023e+01 8.000000000000000167e-02
4.215457314176613429e-02 1.698903499999999767e+01 -3.544919999999999738e-01
4.339450899609389317e-02 1.830191999999999908e+01 -7.616619999999999502e-01
4.463427176849848327e-02 2.078883899999999940e+01 -6.292799999999999505e-01
4.587419522444211722e-02 2.402774499999999591e+01 1.059047999999999989e+00
4.711397237898894141e-02 3.050698499999999314e+01 1.489644799999999947e+01
4.835388145279034128e-02 1.467940499999999915e+01 4.701348000000000305e+00
4.959367497323988183e-02 2.519604399999999345e+01 6.626400000000000068e-01
5.083360834806591178e-02 3.268385999999999569e+01 1.235087999999999964e+00
5.207341079531267736e-02 4.725081700000000495e+01 4.293744000000000227e+00
5.331323258417242777e-02 8.843089500000000669e+01 2.334960800000000347e+01
5.455297700699146546e-02 -7.227342900000000725e+01 1.620084999999999980e+02
5.579294013783500650e-02 -5.219434500000000554e+01 2.170611200000000096e+01
5.703280606515435947e-02 -2.211075600000000563e+01 4.843520000000000714e+00
5.827255643904558080e-02 -7.894886999999998878e+00 1.598383999999999805e+00
5.951250518789615723e-02 -1.092759000000000036e+00 1.534759999999999902e+00
6.075214248836238035e-02 3.478072000000000052e+00 2.235846000000000000e+00
6.199209371654985923e-02 7.076344000000000634e+00 3.220949999999999758e+00
6.323207470144519282e-02 1.000758000000000258e+01 4.279168000000000305e+00
6.447167431053295317e-02 1.418680900000000200e+01 3.645119999999999916e+00
6.571170476475904354e-02 2.004660899999999657e+01 3.777479999999999727e+00
6.695152816540200780e-02 2.776269999999999882e+01 6.815471999999999753e+00
6.819137127957612676e-02 4.167482400000000098e+01 1.710782999999999987e+01
6.943131159768367588e-02 5.851855999999999369e+01 6.571600199999998893e+01
7.067082429397095189e-02 -4.561576499999998902e+01 8.738937199999999450e+01
7.191074241830693048e-02 -4.327009200000000533e+01 3.332894400000000701e+01
7.315046576422468139e-02 -3.172769599999999812e+01 1.777340999999999838e+01
7.439036367913247350e-02 -2.306871699999999592e+01 1.044795599999999958e+01
7.563055097362335333e-02 -1.754852399999999690e+01 6.594479999999999897e+00
7.687034994922171960e-02 -1.260765099999999883e+01 5.330219999999999736e+00
7.811011619296900910e-02 -9.176016000000000616e+00 1.157024000000000008e+01
7.934987995718381648e-02 -1.762160400000000138e+01 5.644000000000000128e+00
8.058980242131723315e-02 -1.342832799999999871e+01 2.718053999999999970e+00
8.182964553549133824e-02 -1.100322700000000076e+01 1.616435999999999984e+00
8.306925605551590541e-02 -9.266816999999999638e+00 1.048855999999999788e+00
8.430914628353226858e-02 -8.036019000000001355e+00 7.662600000000000522e-01
