# freq(eV) epsO1 epsO2 epsE1 epsE2
7.293187496064689190e-01 3.584809974127628251e+00 1.690935861733502410e+00 -2.801470645243165691e+00 9.970184512102564511e+00
7.335637158230791099e-01 3.587411236937287917e+00 1.644264540346565662e+00 -2.833613063106255048e+00 9.378684759354285916e+00
7.378086820396891898e-01 3.590011696556596910e+00 1.596717887827646676e+00 -2.865755480969342628e+00 8.931516314895036501e+00
7.420536482562993807e-01 3.592612156175906346e+00 1.548639467308180917e+00 -2.764744699575059972e+00 8.501989279157362134e+00
7.462986144729094606e-01 3.595215947996784678e+00 1.500494000151990859e+00 -2.621990223705278567e+00 8.086606146858827060e+00
7.505435806895196515e-01 3.597819201398776645e+00 1.454311933216652974e+00 -2.448316928978861107e+00 7.687497029129783499e+00
7.547885469061297314e-01 3.600419661018085637e+00 1.412356960026976083e+00 -2.274643634252448088e+00 7.356668537378833861e+00
7.590335131227399224e-01 3.611195231176292264e+00 1.374276350943529401e+00 -2.100970339526028852e+00 7.028976347242319456e+00
7.632784793393500022e-01 3.627614277662825959e+00 1.337048440055426335e+00 -1.927285891150420927e+00 6.703652356275989099e+00
7.675234455559601932e-01 3.651940942327778217e+00 1.299859862003454047e+00 -1.753331571675256217e+00 6.435628761175459012e+00
7.717684117725704951e-01 3.676273179294734295e+00 1.262671283951481982e+00 -1.579537323825334960e+00 6.193358783867211947e+00
7.760133779891805750e-01 3.700619488770688914e+00 1.226387586504359639e+00 -1.407126421363614321e+00 5.969444526489947833e+00
7.802583442057906549e-01 3.724991219099492046e+00 1.191878823286048661e+00 -1.243547779740346915e+00 5.745524273008920879e+00
7.845033104224007348e-01 3.749330551082737717e+00 1.161981127897116162e+00 -1.081571171473853399e+00 5.554312963434970385e+00
7.887482766390109257e-01 3.773677266507886152e+00 1.132918908522866586e+00 -9.203381782416281132e-01 5.391642822128351220e+00
7.929932428556210056e-01 3.798048996836688396e+00 1.103826829325436742e+00 -7.588989533403540655e-01 5.275242826162856780e+00
7.972382090722311965e-01 3.831158475509915284e+00 1.079653420675339870e+00 -5.976562232235053118e-01 5.158979339019221122e+00
8.014831752888412764e-01 3.869133048979103595e+00 1.060425109191244442e+00 -4.364778048244967734e-01 5.042762555016633286e+00
8.057281415054514673e-01 3.913146997908492075e+00 1.048539203784735863e+00 -2.752993864254841272e-01 4.926550604278868484e+00
8.099731077220615472e-01 3.957220853694090490e+00 1.036637120615417240e+00 -1.139026686219863499e-01 4.810175507175117104e+00
8.142180739386717381e-01 4.001278580806637564e+00 1.024739392971719232e+00 3.312280919618010994e-02 4.702916177183194435e+00
8.184630401552819290e-01 4.045292529736025600e+00 1.012853487565210431e+00 1.567480208065703262e-01 4.610507583049395564e+00
8.227080063718920089e-01 4.089361271208463045e+00 1.009747486205207601e+00 2.551498796027578120e-01 4.540980399310412530e+00
8.269529725885021998e-01 4.133414112634171467e+00 1.012247443695645899e+00 3.514436480051035816e-01 4.473362682192840722e+00
8.311979388051122797e-01 4.177428061563556838e+00 1.021820343888063976e+00 4.477348166689111286e-01 4.405744199745609713e+00
8.354429050217224706e-01 4.218794291674471175e+00 1.031393244080482496e+00 5.441875927427617388e-01 4.338010199968923786e+00
8.396878712383325505e-01 4.257049577412741037e+00 1.040972005699199121e+00 6.405545523887974380e-01 4.270340241664040803e+00
8.439328374549427414e-01 4.290949047372831338e+00 1.050560005103277295e+00 7.368515081458910654e-01 4.202722524546468996e+00
