# freq(eV) epsO1 epsO2 epsE1 epsE2
7.293187496064689190e-01 -2.394900000114370187e+02 4.928299999874605675e+01 -2.394900000114370187e+02 4.928299999874605675e+01
7.335637158230791099e-01 -2.378735682529909070e+02 4.697369178633841358e+01 -2.378735682529909070e+02 4.697369178633841358e+01
7.378086820396891898e-01 -2.350179242979521916e+02 4.402778121647562415e+01 -2.350179242979521916e+02 4.402778121647562415e+01
7.420536482562993807e-01 -2.316322307151551172e+02 4.452846067960813059e+01 -2.316322307151551172e+02 4.452846067960813059e+01
7.462986144729094606e-01 -2.285829264121085771e+02 4.483527678725830157e+01 -2.285829264121085771e+02 4.483527678725830157e+01
7.505435806895196515e-01 -2.257629143870011035e+02 4.448034616326565072e+01 -2.257629143870011035e+02 4.448034616326565072e+01
7.547885469061297314e-01 -2.231365948850416316e+02 4.375712640489915373e+01 -2.231365948850416316e+02 4.375712640489915373e+01
7.590335131227399224e-01 -2.208461309360743314e+02 4.322112718029980982e+01 -2.208461309360743314e+02 4.322112718029980982e+01
7.632784793393500022e-01 -2.183072005043777608e+02 4.272228258297040782e+01 -2.183072005043777608e+02 4.272228258297040782e+01
7.675234455559601932e-01 -2.158632152358096903e+02 4.208746039442309694e+01 -2.158632152358096903e+02 4.208746039442309694e+01
7.717684117725704951e-01 -2.131953846386518876e+02 4.132191905411710309e+01 -2.131953846386518876e+02 4.132191905411710309e+01
7.760133779891805750e-01 -2.108914146493406179e+02 4.083730791234318502e+01 -2.108914146493406179e+02 4.083730791234318502e+01
7.802583442057906549e-01 -2.085906733710803280e+02 4.057802247236600834e+01 -2.085906733710803280e+02 4.057802247236600834e+01
7.845033104224007348e-01 -2.061061084843267395e+02 3.998271842108267293e+01 -2.061061084843267395e+02 3.998271842108267293e+01
7.887482766390109257e-01 -2.039718170834962336e+02 3.945403302236626075e+01 -2.039718170834962336e+02 3.945403302236626075e+01
7.929932428556210056e-01 -2.014658826552016251e+02 3.895847067833358324e+01 -2.014658826552016251e+02 3.895847067833358324e+01
7.972382090722311965e-01 -1.994522373008842067e+02 3.843526327010145849e+01 -1.994522373008842067e+02 3.843526327010145849e+01
8.014831752888412764e-01 -1.971729227305997938e+02 3.792517446085648203e+01 -1.971729227305997938e+02 3.792517446085648203e+01
8.057281415054514673e-01 -1.951680366808334952e+02 3.752042458752715959e+01 -1.951680366808334952e+02 3.752042458752715959e+01
8.099731077220615472e-01 -1.930218969938650275e+02 3.702191788939045125e+01 -1.930218969938650275e+02 3.702191788939045125e+01
8.142180739386717381e-01 -1.910342535081285860e+02 3.652079729336509217e+01 -1.910342535081285860e+02 3.652079729336509217e+01
8.184630401552819290e-01 -1.890716893076519511e+02 3.601707483482263683e+01 -1.890716893076519511e+02 3.601707483482263683e+01
8.227080063718920089e-01 -1.868176471018904294e+02 3.549960590584522180e+01 -1.868176471018904294e+02 3.549960590584522180e+01
8.269529725885021998e-01 -1.847785408865260024e+02 3.507867161601627970e+01 -1.847785408865260024e+02 3.507867161601627970e+01
8.311979388051122797e-01 -1.828317750350119297e+02 3.465744814664842011e+01 -1.828317750350119297e+02 3.465744814664842011e+01
