# freq(eV) epsO1 epsO2 epsE1 epsE2
7.293187496064689190e-01 3.041174999999999962e+00 6.627199999999999758e-02 2.961552000000000184e+00 5.851400000000000351e-02
7.335637158230791099e-01 3.041174999999999962e+00 6.627199999999999758e-02 2.961552000000000184e+00 5.851400000000000351e-02
7.378086820396891898e-01 3.041174999999999962e+00 6.627199999999999758e-02 2.961583545798439854e+00 5.522367762944528635e-02
7.420536482562993807e-01 3.041174999999999962e+00 6.627199999999999758e-02 2.961585000000000356e+00 5.507199999999999596e-02
7.462986144729094606e-01 3.041174999999999962e+00 6.627199999999999758e-02 2.961585000000000356e+00 5.507199999999999596e-02
7.505435806895196515e-01 3.041174999999999962e+00 6.627199999999999758e-02 2.961585000000000356e+00 5.507199999999999596e-02
7.547885469061297314e-01 3.041202207821086745e+00 6.370711135265631764e-02 2.961585000000000356e+00 5.507199999999999596e-02
7.590335131227399224e-01 3.041211999999999804e+00 6.278399999999999259e-02 2.961605267914879658e+00 5.282160764470673897e-02
7.632784793393500022e-01 3.043173213318526749e+00 6.280423607895298244e-02 2.961598574487568580e+00 5.356479399322713192e-02
7.675234455559601932e-01 3.044701000000000324e+00 6.281999999999998696e-02 2.963170435184599327e+00 5.508673538365006089e-02
7.717684117725704951e-01 3.044701000000000324e+00 6.281999999999998696e-02 2.965028000000000219e+00 5.510399999999999326e-02
7.760133779891805750e-01 3.044716518336363809e+00 6.122708841443021827e-02 2.965028000000000219e+00 5.510399999999999326e-02
7.802583442057906549e-01 3.044762337064917723e+00 5.652393068937461296e-02 2.965028000000000219e+00 5.510399999999999326e-02
7.845033104224007348e-01 3.044703848486994158e+00 6.252761118799887718e-02 2.965028000000000219e+00 5.510399999999999326e-02
7.887482766390109257e-01 3.047521533714157016e+00 6.284908599647942573e-02 2.967836414548957968e+00 5.234567800053460673e-02
7.929932428556210056e-01 3.048191999999999791e+00 6.285599999999999521e-02 2.968483883118567590e+00 5.392621849734721001e-02
7.972382090722311965e-01 3.049873103532143137e+00 6.287332600262157678e-02 2.968473000000000361e+00 5.513599999999999751e-02
8.014831752888412764e-01 3.050607685128529312e+00 6.394673093365542405e-02 2.968473000000000361e+00 5.513599999999999751e-02
8.057281415054514673e-01 3.048159472137522474e+00 6.592592691273388428e-02 2.969302521076147894e+00 5.556073219606333380e-02
8.099731077220615472e-01 3.048189320589607121e+00 6.310887840788578784e-02 2.974839005580378171e+00 5.839552842917792447e-02
8.142180739386717381e-01 3.050723593948693413e+00 6.288209143491352293e-02 2.970361957838568046e+00 5.610318604760731326e-02
8.184630401552819290e-01 3.051685000000000425e+00 6.289200000000000346e-02 2.970245411982225026e+00 5.515245407120138860e-02
8.227080063718920089e-01 3.051674045341068897e+00 6.392647508939350298e-02 2.971919999999999895e+00 5.516799999999999482e-02
8.269529725885021998e-01 3.051648000000000582e+00 6.638600000000000056e-02 2.971917669740552270e+00 5.541147680529559527e-02
8.311979388051122797e-01 3.051648000000000582e+00 6.638600000000000056e-02 2.971892417529783614e+00 5.804995022138260963e-02
8.354429050217224706e-01 3.053742606424123096e+00 6.433527830843240036e-02 2.971886999999999723e+00 5.861600000000000144e-02
8.396878712383325505e-01 3.055167294915017262e+00 6.412845884051621148e-02 2.971886999999999723e+00 5.861600000000000144e-02
8.439328374549427414e-01 3.055142999999999720e+00 6.642399999999998306e-02 2.972187301342907428e+00 5.861896034956765728e-02
8.481778036715528213e-01 3.055142999999999720e+00 6.642399999999998306e-02 2.974721678952558346e+00 5.864394406621831896e-02
8.524227698881630122e-01 3.055121584111219590e+00 6.834374223528168202e-02 2.975336000000000425e+00 5.865000000000000768e-02
8.566677361047732031e-01 3.055114537426324883e+00 6.897541429660326850e-02 2.974394656581626162e+00 5.957243008907219667e-02
8.609127023213832830e-01 3.055142418085633693e+00 6.647616340060773232e-02 2.971903984350032779e+00 6.201306011164908066e-02
8.651576685379934739e-01 3.055142999999999720e+00 6.642399999999998306e-02 2.971851999999999716e+00 6.206399999999999417e-02
8.694026347546035538e-01 3.055142999999999720e+00 6.642399999999998306e-02 2.973196594050806940e+00 6.207803461462134409e-02
8.736476009712137447e-01 3.055139728036752711e+00 6.671730214137461257e-02 2.975301000000000418e+00 6.209999999999998854e-02
8.778925671878239356e-01 3.055112993048214154e+00 6.911385393446004000e-02 2.975301000000000418e+00 6.209999999999998854e-02
8.821375334044340155e-01 3.055104000000000042e+00 6.991999999999999604e-02 2.973754074520573720e+00 6.208385348876214321e-02
8.863824996210440954e-01 3.055532758375714142e+00 6.992490429940764751e-02 2.971851999999999716e+00 6.206399999999999417e-02
8.906274658376542863e-01 3.057862707330224694e+00 6.995155513102917222e-02 2.971851999999999716e+00 6.206399999999999417e-02
8.948724320542644772e-01 3.057032081662189871e+00 6.994205412253005905e-02 2.971851999999999716e+00 6.206399999999999417e-02
8.991173982708745571e-01 3.055108051438268024e+00 6.955682491832661241e-02 2.971851999999999716e+00 6.206399999999999417e-02
9.033623644874848591e-01 3.055133296253636388e+00 6.729385377657878808e-02 2.971851999999999716e+00 6.206399999999999417e-02
9.076073307040949389e-01 3.055127684163878587e+00 6.779692725842732803e-02 2.971851999999999716e+00 6.206399999999999417e-02
9.118522969207050188e-01 3.055105177342488876e+00 6.981446181175343657e-02 2.971851999999999716e+00 6.206399999999999417e-02
9.160972631373152097e-01 3.055129693094639443e+00 6.761684464458489474e-02 2.971851999999999716e+00 6.206399999999999417e-02
9.203422293539252896e-01 3.055142999999999720e+00 6.642399999999998306e-02 2.971851999999999716e+00 6.206399999999999417e-02
9.245871955705353695e-01 3.055142999999999720e+00 6.642399999999998306e-02 2.971851999999999716e+00 6.206399999999999417e-02
9.288321617871455604e-01 3.055142999999999720e+00 6.642399999999998306e-02 2.971851999999999716e+00 6.206399999999999417e-02
9.330771280037557514e-01 3.055142999999999720e+00 6.642399999999998306e-02 2.972278825268876989e+00 6.164575043973954949e-02
9.373220942203658312e-01 3.055142999999999720e+00 6.642399999999998306e-02 2.974372993932567599e+00 5.959365749546946533e-02
9.415670604369760222e-01 3.055142999999999720e+00 6.642399999999998306e-02 2.975336000000000425e+00 5.865000000000000768e-02
9.458120266535861020e-01 3.055142999999999720e+00 6.642399999999998306e-02 2.975336000000000425e+00 5.865000000000000768e-02
9.500569928701962930e-01 3.056878359998362438e+00 6.644285721473770778e-02 2.975318631512741785e+00 6.036203660118669156e-02
9.543019590868064839e-01 3.058640000000000470e+00 6.646200000000000718e-02 2.975301000000000418e+00 6.209999999999998854e-02
9.585469253034165638e-01 3.058640000000000470e+00 6.646200000000000718e-02 2.975301000000000418e+00 6.209999999999998854e-02
9.627918915200266436e-01 3.058640000000000470e+00 6.646200000000000718e-02 2.976070440719224663e+00 6.210802662007883224e-02
9.670368577366368346e-01 3.058640000000000470e+00 6.646200000000000718e-02 2.978021419641392331e+00 6.212837876183427421e-02
9.712818239532470255e-01 3.058640000000000470e+00 6.646200000000000718e-02 2.978752000000000066e+00 6.213599999999998985e-02
9.755267901698571054e-01 3.058640000000000470e+00 6.646200000000000718e-02 2.978752000000000066e+00 6.213599999999998985e-02
9.797717563864671853e-01 3.058622290474444227e+00 6.805040821526461836e-02 2.978752000000000066e+00 6.213599999999998985e-02
9.840167226030773762e-01 3.058601000000000347e+00 6.996000000000000829e-02 2.978751928392329607e+00 6.214268080213564138e-02
9.882616888196875671e-01 3.058601000000000347e+00 6.996000000000000829e-02 2.978731976218475630e+00 6.400416469785749629e-02
