# freq(eV) IEx(real) IEx(imag) IEy(real) IEy(imag) TEx(real) TEx(imag) TEy(real) TEy(imag) REx(real) REx(imag) REy(real) REy(imag) Transmission Reflection Absorption deltaThetaT deltaThetaR
7.293187496064689190e-01 2.190614857961345433e-07 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.450505695729910986e-07 -8.163743540700747864e-08 0.000000000000000000e+00 -0.000000000000000000e+00 -6.276016439446357457e-08 -9.040434920257086962e-08 0.000000000000000000e+00 0.000000000000000000e+00 5.773188374902730180e-01 2.523922877867624259e-01 1.702888747229645561e-01 1.631761199659756689e-01 6.931611556231048743e-01
7.335637158230791099e-01 2.414943529475280444e-07 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.604611026871048908e-07 -9.063800145843627810e-08 0.000000000000000000e+00 -0.000000000000000000e+00 -6.847273517525013608e-08 -1.002842789138335678e-07 0.000000000000000000e+00 0.000000000000000000e+00 5.823609543564384206e-01 2.528390395899665632e-01 1.648000060535950162e-01 1.636686226901579999e-01 6.906929295211051700e-01
7.378086820396891898e-01 2.639272200989209368e-07 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.766341958611120754e-07 -9.972938498535894237e-08 0.000000000000000000e+00 -0.000000000000000000e+00 -7.339849797882843775e-08 -1.101680589640790266e-07 0.000000000000000000e+00 0.000000000000000000e+00 5.906836104321639969e-01 2.515783831150369410e-01 1.577380064527990622e-01 1.636083072929891136e-01 6.870732603412789130e-01
7.420536482562993807e-01 2.978908021030043152e-07 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.001288843337828167e-07 -1.116313148519385813e-07 0.000000000000000000e+00 -0.000000000000000000e+00 -8.210010229990510433e-08 -1.233847964419718828e-07 0.000000000000000000e+00 0.000000000000000000e+00 5.917709489344746832e-01 2.475152088968524955e-01 1.607138421686728214e-01 1.619591787388973136e-01 6.868874927409226450e-01
7.462986144729094606e-01 3.341754992761810977e-07 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.252634445791188011e-07 -1.243619954981936980e-07 0.000000000000000000e+00 -0.000000000000000000e+00 -9.134420912549632636e-08 -1.375258907805585508e-07 0.000000000000000000e+00 0.000000000000000000e+00 5.928860931323990391e-01 2.440793267984099346e-01 1.630345800691910263e-01 1.605662699694099527e-01 6.866220644627774039e-01
7.505435806895196515e-01 3.704601964493587800e-07 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.506824300212923362e-07 -1.373346278562018428e-07 0.000000000000000000e+00 -0.000000000000000000e+00 -1.002511806439662148e-07 -1.518861109206767343e-07 0.000000000000000000e+00 0.000000000000000000e+00 5.953222819844994351e-01 2.413254677261993941e-01 1.633522502893011707e-01 1.595323623554240899e-01 6.857026613805697890e-01
7.547885469061297314e-01 4.067448936225355625e-07 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.763494488824779069e-07 -1.505069658952818409e-07 0.000000000000000000e+00 -0.000000000000000000e+00 -1.088628503350685905e-07 -1.664289819904449937e-07 0.000000000000000000e+00 0.000000000000000000e+00 5.985282982393762552e-01 2.390557877311484392e-01 1.624159140294753056e-01 1.587435525854547225e-01 6.843838757332347811e-01
7.590335131227399224e-01 4.458892094881151969e-07 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.038727305496454340e-07 -1.646804538827952259e-07 0.000000000000000000e+00 -0.000000000000000000e+00 -1.183085360804654583e-07 -1.821097541711793121e-07 0.000000000000000000e+00 0.000000000000000000e+00 6.008448765541711811e-01 2.372072201236338773e-01 1.619479033221949416e-01 1.580832602933573139e-01 6.833887479306000046e-01
7.632784793393500022e-01 5.041047051246463925e-07 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.448071699771070616e-07 -1.856408233277907732e-07 0.000000000000000000e+00 -0.000000000000000000e+00 -1.324016478485419232e-07 -2.052891347680748545e-07 0.000000000000000000e+00 0.000000000000000000e+00 6.034690780975564550e-01 2.348239428384606142e-01 1.617069790639829308e-01 1.572088325261736808e-01 6.823337542790134380e-01
7.675234455559601932e-01 5.623202007611791763e-07 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.860557316794845658e-07 -2.066316656618512388e-07 0.000000000000000000e+00 -0.000000000000000000e+00 -1.461402121068327833e-07 -2.284800444691577249e-07 0.000000000000000000e+00 0.000000000000000000e+00 6.063669917338474491e-01 2.326349142052365759e-01 1.609980940609159750e-01 1.564298796731889152e-01 6.811320005291972013e-01
7.717684117725704951e-01 6.205356963977119601e-07 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.279248235586678415e-07 -2.274999006331876479e-07 0.000000000000000000e+00 -0.000000000000000000e+00 -1.592403533339078244e-07 -2.514886113836621189e-07 0.000000000000000000e+00 0.000000000000000000e+00 6.099648983489417420e-01 2.301017106603729934e-01 1.599333909906852647e-01 1.555371350158706867e-01 6.796757068193732820e-01
