# freq(eV) IEx(real) IEx(imag) IEy(real) IEy(imag) TEx(real) TEx(imag) TEy(real) TEy(imag) REx(real) REx(imag) REy(real) REy(imag) Transmission Reflection Absorption deltaThetaT deltaThetaR
7.293187496064689190e-01 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 8.716224208814478125e-01 9.737401274712229049e-02 -1.005939075825198759e-01 -8.414502541151389625e-01 -1.338902130816784497e-01 8.784772532292649261e-02 -1.074455618613717189e-01 1.520719432802276616e-01 7.436825036674326039e-01 3.015711835010011915e-02 2.261603779824672700e-01 -5.732870579150016743e-01 -1.193750925423553572e-01
7.335637158230791099e-01 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 8.732664640330513040e-01 9.491324494570661796e-02 -1.000019348324468482e-01 -8.503901488785944318e-01 -1.320813107662696662e-01 8.547451879257224328e-02 -1.064262084090484839e-01 1.432401443647890182e-01 7.523833167754516715e-01 2.829782140526475309e-02 2.193188618192835615e-01 -5.717217086166712647e-01 -1.137756750296063935e-01
7.378086820396891898e-01 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 8.745681426121281188e-01 9.321122020506267258e-02 -9.986705443970254892e-02 -8.572886859762146594e-01 -1.306686893191228438e-01 8.382550242785807848e-02 -1.059581015601942650e-01 1.363974546727277637e-01 7.592375436547158518e-01 2.696620307654977802e-02 2.137962532687343598e-01 -5.707118839153508816e-01 -1.082116405949109100e-01
7.420536482562993807e-01 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 8.766661431159129547e-01 9.191352763619407840e-02 -9.757113689321476879e-02 -8.636787691408858159e-01 -1.284983167149187089e-01 8.264038006390198032e-02 -1.033803531503249273e-01 1.301694988329907821e-01 7.662263830338048587e-01 2.548642282979580315e-02 2.082871941363993451e-01 -5.690596681171901094e-01 -1.044300856622493168e-01
7.462986144729094606e-01 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 8.790457209105422276e-01 9.076558842042475872e-02 -9.451596079805534012e-02 -8.698690651180266409e-01 -1.260597742534094179e-01 8.162731637789322203e-02 -1.000596251953359689e-01 1.241802873281141334e-01 7.732826143936650798e-01 2.399337890950065805e-02 2.027240066968342691e-01 -5.672018568149749251e-01 -1.011959773576177890e-01
7.505435806895196515e-01 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 8.816070730422550517e-01 8.974052289967046625e-02 -9.083612027311423198e-02 -8.758188031439405608e-01 -1.234503988264636365e-01 8.075302313429665035e-02 -9.613131562330483326e-02 1.184643941053598326e-01 7.802970846875973976e-01 2.251804711497932404e-02 1.971848681974232853e-01 -5.651862724897214196e-01 -9.861874298541772887e-02
7.547885469061297314e-01 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 8.839570789199098222e-01 8.907286238986317217e-02 -8.722857456037252932e-02 -8.806733922573791729e-01 -1.210790769969052605e-01 8.021922321381638743e-02 -9.232959029166791509e-02 1.138289516474045165e-01 7.862542701184486171e-01 2.128852506801251487e-02 1.924572048135388680e-01 -5.633922541901698056e-01 -9.682057675464954272e-02
7.590335131227399224e-01 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 8.861906838242050721e-01 8.852826215229436801e-02 -8.342187359062319674e-02 -8.856172068561048993e-01 -1.188292554387399697e-01 7.980364031281414472e-02 -8.832148213195334385e-02 1.091214727041641824e-01 7.922241136847482101e-01 2.009859648320646425e-02 1.876772898320453187e-01 -5.615886285400271127e-01 -9.516184522652153255e-02
7.632784793393500022e-01 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 8.883999088059980620e-01 8.808652120991637691e-02 -7.944742804947933779e-02 -8.906598644381956698e-01 -1.166085860928227774e-01 7.949158299113420756e-02 -8.413753164727788558e-02 1.043297436686175528e-01 7.983002605650564298e-01 1.894014688132988553e-02 1.827595925536136812e-01 -5.597766988378829467e-01 -9.351777901717549246e-02
7.675234455559601932e-01 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 8.903966778472293120e-01 8.818706766623567173e-02 -7.552933619977225677e-02 -8.947939899153618537e-01 -1.146381100342879211e-01 7.970283986093069928e-02 -8.005330703686175386e-02 1.004357853271327788e-01 8.034720839201914266e-01 1.799515894797331511e-02 1.785327571318352513e-01 -5.582286252125810977e-01 -9.241041397963180304e-02
7.717684117725704951e-01 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 8.923611365097413595e-01 8.846271662591524698e-02 -7.160992320596652749e-02 -8.985050079712294524e-01 -1.127136628819735559e-01 8.008633729682966551e-02 -7.598836086159659053e-02 9.696242223780580927e-02 8.082866403183688320e-01 1.714706676727376089e-02 1.745662929143574071e-01 -5.567678104789138827e-01 -9.177609962716444525e-02
7.760133779891805750e-01 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 8.942845177623909292e-01 8.885415445051825234e-02 -6.768238692259967437e-02 -9.019146090081069378e-01 -1.108394875148213110e-01 8.058305192848226606e-02 -7.192986306263667029e-02 9.379022317164840972e-02 8.128353634572077491e-01 1.637476570672698889e-02 1.707898708360652551e-01 -5.553653576781735213e-01 -9.164721137684044006e-02
7.802583442057906549e-01 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 8.961548477386253042e-01 8.919771083091752872e-02 -6.380145974205131409e-02 -9.053988924457139209e-01 -1.090141409440482240e-01 8.103035854568281515e-02 -6.791120537040361282e-02 9.054530066246070652e-02 8.174337617250283516e-01 1.563019260936363355e-02 1.669360456656080183e-01 -5.539721653461133766e-01 -9.169848415603717995e-02
