# freq(eV) IEx(real) IEx(imag) IEy(real) IEy(imag) TEx(real) TEx(imag) TEy(real) TEy(imag) REx(real) REx(imag) REy(real) REy(imag) Transmission Reflection Absorption deltaThetaT deltaThetaR
7.293187496064689190e-01 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.536225938336613472e-01 4.555753019310655738e-02 -8.242390817557063154e-02 -7.490048175007277265e-02 -1.460671016650414433e-01 2.024902031960346474e-02 -6.834333002207529373e-02 -8.878131070210973363e-02 7.431508040659317027e-01 3.429855290122010847e-02 2.225506430328481888e-01 -7.821823256965350080e-01 -1.664979754437652115e+00
7.335637158230791099e-01 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.586870926499071688e-01 4.525389856155381807e-02 -7.809455716786106727e-02 -7.619328833237913601e-02 -1.409473969068590904e-01 2.071132117937637268e-02 -6.373954072805053384e-02 -8.936732622387767722e-02 7.512956154647150164e-01 3.234437556844274586e-02 2.163600089668422377e-01 -7.706821220474544543e-01 -1.650767860094306538e+00
7.378086820396891898e-01 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.626154488221503547e-01 4.504050193511052735e-02 -7.494207214382619942e-02 -7.741532484719834684e-02 -1.369687224861131092e-01 2.107005175924580795e-02 -6.031269821466524184e-02 -9.008420410418083168e-02 7.577435060596142691e-01 3.095716341563215998e-02 2.112993305247535814e-01 -7.614383720666809685e-01 -1.639208716911136898e+00
7.420536482562993807e-01 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.666189101560395347e-01 4.606920117055030711e-02 -7.173364674528381890e-02 -7.739739280063223648e-02 -1.331394832005810824e-01 2.268047216252825488e-02 -5.705096090976393558e-02 -8.955741957574432643e-02 7.642867792242469260e-01 2.951586934622635328e-02 2.061973514295267207e-01 -7.548222784353160186e-01 -1.626838040847382150e+00
7.462986144729094606e-01 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.706391588897424150e-01 4.754615921150197322e-02 -6.852233286848481708e-02 -7.693885572429128017e-02 -1.293773789489467696e-01 2.474598114861291734e-02 -5.386685188877227137e-02 -8.858733878428902420e-02 7.708880798699063730e-01 2.810022409199620930e-02 2.010116960380974316e-01 -7.489686551338693432e-01 -1.613745268192210425e+00
7.505435806895196515e-01 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.746098325070997825e-01 4.938903579933318078e-02 -6.532216664449513877e-02 -7.610829875914321141e-02 -1.257345100593555143e-01 2.717287346470743589e-02 -5.076319825195060170e-02 -8.724448282779057040e-02 7.774410945704270937e-01 2.673603415285065801e-02 1.958228712767222379e-01 -7.437269615212789287e-01 -1.599989773019745654e+00
7.547885469061297314e-01 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.780015948460259123e-01 5.134215310790389564e-02 -6.266714331242152769e-02 -7.515589595482954910e-02 -1.226875792065551390e-01 2.960243411721995288e-02 -4.822369286173016495e-02 -8.587444834115033621e-02 7.830983967856333106e-01 2.562849162834847372e-02 1.912731115860182296e-01 -7.398274608400543517e-01 -1.587509001739589198e+00
7.590335131227399224e-01 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.813192222496036843e-01 5.345370143486795345e-02 -5.989891721011868231e-02 -7.423824123191077873e-02 -1.197484626269438718e-01 3.218702852511481222e-02 -4.556901954249969328e-02 -8.451221955758593529e-02 7.886800664478863521e-01 2.459454990340745675e-02 1.867253836487061947e-01 -7.353837474918741846e-01 -1.573826088238800214e+00
7.632784793393500022e-01 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.846277033347560437e-01 5.575170505983705754e-02 -5.704780297273148726e-02 -7.332441600731842701e-02 -1.168516686867335924e-01 3.496521658185763187e-02 -4.283311391533319024e-02 -8.313324148593383145e-02 7.943053479312340848e-01 2.362269033313286679e-02 1.820719617356330589e-01 -7.304987307876297242e-01 -1.558891465047676617e+00
7.675234455559601932e-01 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.873679367946689656e-01 5.824790699836422669e-02 -5.470895363704648962e-02 -7.242195868330225661e-02 -1.145604480662868047e-01 3.783984176898115559e-02 -4.060424658710531237e-02 -8.185586414192018434e-02 7.990526836285041234e-01 2.290503722157687452e-02 1.780422791499189916e-01 -7.267982445234926203e-01 -1.545027138491617213e+00
7.717684117725704951e-01 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.898829123560573207e-01 6.078393777840496170e-02 -5.260847009682352582e-02 -7.145762160112718864e-02 -1.125099387749366603e-01 4.071597073699986802e-02 -3.862563588421247945e-02 -8.055714589166189377e-02 8.034601276059656350e-01 2.229767009786648782e-02 1.742422022961678807e-01 -7.237153457535701051e-01 -1.531790394375876385e+00
7.760133779891805750e-01 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.922635113428668552e-01 6.337807462522355995e-02 -5.066832909642162569e-02 -7.044843116628475566e-02 -1.106076093201601718e-01 4.362354732567071819e-02 -3.681627760109807551e-02 -7.923949452449917386e-02 8.076812150443166693e-01 2.177139290969546531e-02 1.705473920459878723e-01 -7.210422016755617669e-01 -1.518868352073829309e+00
7.802583442057906549e-01 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.947313456813598131e-01 6.594235224923436500e-02 -4.867882894898056811e-02 -6.948725289974418129e-02 -1.086165482992800940e-01 4.651165303078481916e-02 -3.495152752696464166e-02 -7.795609556352918468e-02 8.120906814683362951e-01 2.125965054408422011e-02 1.666496679875794917e-01 -7.179334790823497237e-01 -1.505375019430422956e+00
7.845033104224007348e-01 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.965325014777254520e-01 6.849653723834850383e-02 -4.695324862208646172e-02 -6.845002620631475410e-02 -1.072958121205341009e-01 4.930469618048199942e-02 -3.336465900444136878e-02 -7.664383937673414915e-02 8.153523154633649517e-01 2.093082294894386269e-02 1.637168615876911926e-01 -7.156508359734862212e-01 -1.493581739385795526e+00
7.887482766390109257e-01 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.981484273068501833e-01 7.118773762972961661e-02 -4.552031966214888092e-02 -6.739574841628964696e-02 -1.061757462155471510e-01 5.218317344388015422e-02 -3.207408318981647827e-02 -7.536803196168399832e-02 8.183525778693436781e-01 2.070545972934704354e-02 1.609419624013092853e-01 -7.142646184323443448e-01 -1.482665575990140816e+00
7.929932428556210056e-01 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.992578790601275518e-01 7.387530811810630316e-02 -4.461820012621418863e-02 -6.628945895506219155e-02 -1.055686093008769422e-01 5.496068883860401322e-02 -3.131913622832759730e-02 -7.414014658587073092e-02 8.205073703523220185e-01 2.064305821719799455e-02 1.588495714304799800e-01 -7.146674768277925249e-01 -1.474436280858985926e+00
7.972382090722311965e-01 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.002588723278895921e-01 7.673055494825098410e-02 -4.361157497452174125e-02 -6.525542250782176423e-02 -1.051028938423184261e-01 5.788557525245040941e-02 -3.044939610839689573e-02 -7.296150506718172835e-02 8.225138549061826732e-01 2.064790506137119397e-02 1.568382400324461190e-01 -7.145960144883379828e-01 -1.465603605605225956e+00
8.014831752888412764e-01 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.011454698640263272e-01 7.964750608997622772e-02 -4.251524618212251805e-02 -6.423622386982261179e-02 -1.047722143300458403e-01 6.085393668530350575e-02 -2.949084098622273623e-02 -7.177802046558676152e-02 8.243407216977899354e-01 2.070221242975285592e-02 1.549570658724572225e-01 -7.141657859523047325e-01 -1.456594169588566468e+00
8.057281415054514673e-01 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.018907984162806146e-01 8.257386696083683642e-02 -4.129026583977502690e-02 -6.323136938606556401e-02 -1.046014778431397924e-01 6.380613499778910180e-02 -2.840463404108067511e-02 -7.058169846597821262e-02 8.259285479003783959e-01 2.080129142367494188e-02 1.532701606759466761e-01 -7.131992354066684081e-01 -1.447437537309776756e+00
8.099731077220615472e-01 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.027474801318098319e-01 8.563379992341015046e-02 -4.004789937600272687e-02 -6.220137453305952385e-02 -1.043398040786106679e-01 6.689721403934108246e-02 -2.730827061510358172e-02 -6.935642144053108527e-02 8.277590058118874383e-01 2.091808680041256502e-02 1.513229073876999897e-01 -7.121887444915890875e-01 -1.437919936676350652e+00
